,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 1)",3000,0.7869370937790158,0.747794800371402
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(2, 2)",4500,0.7862842386258124,0.7455315691736305
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 2)",3000,0.7731836118848654,0.7447771587743732
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(2, 2)",7500,0.7970055710306406,0.737116991643454
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 1)",6000,0.7904044800371403,0.726439182915506
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 1)",7500,0.8006470519962859,0.725974930362117
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 1)",7500,0.8143715181058496,0.7253946146703807
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(2, 2)",6000,0.7749825905292479,0.723769730733519
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 1)",4500,0.7686716573816156,0.7220287836583101
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 2)",6000,0.7802054317548747,0.7205779944289693
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 2)",7500,0.7951485608170845,0.7204038997214485
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 2)",7500,0.7905350510677809,0.7199976787372331
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 2)",6000,0.773879990714949,0.7199396471680595
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 1)",6000,0.7916376508820798,0.7197655524605385
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(2, 2)",3000,0.7459813138347261,0.718895078922934
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(2, 2)",7500,0.7841080547818013,0.7181987000928505
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 1)",4500,0.7721970752089137,0.7124535747446611
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(2, 2)",4500,0.7530466573816156,0.709958217270195
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 2)",4500,0.7514507892293407,0.7092618384401114
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 1)",3000,0.7402506963788301,0.7075789229340761
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 2)",4500,0.7572539461467038,0.707288765088208
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(2, 2)",6000,0.7596332404828227,0.7063022284122563
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 2)",3000,0.730994661095636,0.7043291550603529
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(1, 2)",3000,0.7273096564531105,0.700383008356546
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(1, 1)",3000,0.7343459842154132,0.6979456824512534
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(2, 2)",4500,0.7398154596100278,0.6951021355617456
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(2, 2)",7500,0.7569202646239555,0.6921425255338904
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(2, 2)",3000,0.7188660631383472,0.6873839368616528
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(2, 2)",4500,0.7106255803156918,0.6735143918291551
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(2, 2)",6000,0.7251624883936861,0.6733402971216341
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(2, 2)",3000,0.7053156917363046,0.6704967502321263
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(2, 2)",7500,0.7402652042711235,0.6665506035283194
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(2, 2)",7500,0.7202878365831012,0.6658542246982359
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(2, 2)",4500,0.7055913416898792,0.6635909935004642
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(2, 2)",6000,0.7191997446610956,0.6583101207056639
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(2, 2)",6000,0.689850278551532,0.6485027855153204
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(2, 2)",4500,0.6915622098421541,0.6480385329619313
0,PassiveAggressiveClassifier,headline,1,TfidfVectorizer,"(2, 2)",7500,0.6954648328690808,0.6451369545032498
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(2, 2)",3000,0.6674210770659239,0.6426415970287837
0,PassiveAggressiveClassifier,headline,1,TfidfVectorizer,"(2, 2)",6000,0.6835973769730733,0.640552460538533
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(2, 2)",7500,0.6928969359331476,0.639914113277623
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(2, 2)",6000,0.6850191504178273,0.6374767873723306
0,PassiveAggressiveClassifier,headline,1,TfidfVectorizer,"(2, 2)",4500,0.6764014623955432,0.6367804085422469
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(2, 2)",3000,0.6629671541318477,0.6367223769730733
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(2, 2)",4500,0.6737755338904364,0.6333565459610028
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(2, 2)",7500,0.7148763927576601,0.6263927576601671
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(2, 2)",3000,0.6557712395543176,0.6251740947075209
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(2, 2)",6000,0.6865134633240483,0.6128714020427113
0,PassiveAggressiveClassifier,headline,1,TfidfVectorizer,"(2, 2)",3000,0.6404218895078923,0.6118848653667596
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(2, 2)",3000,0.638347260909935,0.6081708449396471
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(2, 2)",4500,0.6589629758588672,0.596274373259053
0,PassiveAggressiveClassifier,short_description,0,CountVectorizer,"(2, 2)",3000,0.6195450324976788,0.5840877437325905
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(2, 2)",7500,0.6317606778087279,0.557161095636026
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(2, 2)",6000,0.6148299675023212,0.5528667595171773
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(2, 2)",4500,0.6015842618384402,0.5470055710306406
0,PassiveAggressiveClassifier,short_description,1,CountVectorizer,"(2, 2)",3000,0.5639362813370473,0.5310468895078923
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(2, 2)",7500,0.4866962627669452,0.4282149489322191
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(2, 2)",6000,0.4704619312906221,0.4228180129990715
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(2, 2)",4500,0.4612639275766017,0.4195682451253482
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(2, 2)",3000,0.4197858635097493,0.3907845868152275
