,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,ComplementNB,short_description,0,CountVectorizer,"(1, 1)",7500,0.7609534586815228,0.7422237697307336
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 2)",7500,0.7650446843082637,0.7420496750232126
0,ComplementNB,short_description,1,CountVectorizer,"(1, 1)",7500,0.7670902971216341,0.7411792014856081
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 2)",6000,0.7579648328690808,0.7382195914577531
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 1)",4500,0.7575150882079852,0.7381035283194057
0,ComplementNB,short_description,0,CountVectorizer,"(1, 1)",6000,0.7535834493964717,0.7356662024141133
0,ComplementNB,short_description,1,CountVectorizer,"(1, 1)",6000,0.7585306406685237,0.7354340761374187
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 2)",7500,0.752524373259053,0.7353760445682451
0,ComplementNB,short_description,1,CountVectorizer,"(1, 2)",7500,0.7570218198700093,0.7353760445682451
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 1)",3000,0.7442258588672238,0.7334610027855153
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 2)",4500,0.7469823584029712,0.7324744661095636
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 2)",6000,0.7446465877437326,0.7307335190343547
0,ComplementNB,short_description,1,CountVectorizer,"(1, 2)",6000,0.7491150185701021,0.7303853296193129
0,ComplementNB,short_description,1,CountVectorizer,"(1, 1)",4500,0.7481574976787372,0.7302692664809657
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 1)",3000,0.7420496750232126,0.7298630454967502
0,ComplementNB,short_description,0,CountVectorizer,"(1, 1)",4500,0.7441533194057567,0.7288184772516249
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 2)",4500,0.7337366527390901,0.7255106778087279
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 2)",3000,0.732169800371402,0.7241759517177344
0,ComplementNB,short_description,1,CountVectorizer,"(1, 2)",4500,0.7384227019498607,0.7238277623026926
0,ComplementNB,short_description,0,CountVectorizer,"(1, 2)",7500,0.7395978412256268,0.7216805942432684
0,ComplementNB,short_description,1,CountVectorizer,"(1, 1)",3000,0.7326920844939647,0.721564531104921
0,ComplementNB,short_description,0,CountVectorizer,"(1, 1)",3000,0.7302692664809657,0.7197075208913649
0,ComplementNB,short_description,0,CountVectorizer,"(1, 2)",6000,0.7303853296193129,0.7185468895078923
0,ComplementNB,full_text,0,TfidfVectorizer,"(2, 2)",3000,0.731313834726091,0.7185468895078923
0,ComplementNB,short_description,1,CountVectorizer,"(1, 2)",3000,0.721419452181987,0.71419452181987
0,ComplementNB,full_text,0,CountVectorizer,"(2, 2)",3000,0.7251624883936861,0.7121053853296193
0,ComplementNB,short_description,0,CountVectorizer,"(1, 2)",4500,0.7208391364902507,0.7120473537604457
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 2)",3000,0.7176328922934077,0.7118152274837511
0,ComplementNB,short_description,0,CountVectorizer,"(1, 2)",3000,0.7070276230269267,0.6995705663881151
0,ComplementNB,headline,0,TfidfVectorizer,"(2, 2)",7500,0.7247272516248839,0.6851207056638812
0,ComplementNB,headline,0,CountVectorizer,"(2, 2)",7500,0.724408077994429,0.6840181058495822
0,ComplementNB,headline,0,TfidfVectorizer,"(2, 2)",6000,0.6969156220984215,0.6608635097493036
0,ComplementNB,headline,0,CountVectorizer,"(2, 2)",6000,0.695900069637883,0.658136025998143
0,ComplementNB,full_text,1,CountVectorizer,"(2, 2)",7500,0.6882979340761374,0.6439763231197771
0,ComplementNB,headline,0,TfidfVectorizer,"(2, 2)",4500,0.6749651810584958,0.64322191272052
0,ComplementNB,full_text,1,TfidfVectorizer,"(2, 2)",7500,0.6860347028783659,0.6422934076137419
0,ComplementNB,headline,0,CountVectorizer,"(2, 2)",4500,0.6743848653667596,0.6414809656453111
0,ComplementNB,short_description,0,TfidfVectorizer,"(2, 2)",7500,0.6712801764159703,0.6371285979572887
0,ComplementNB,short_description,0,CountVectorizer,"(2, 2)",7500,0.6675081244196843,0.6332985143918292
0,ComplementNB,short_description,0,TfidfVectorizer,"(2, 2)",6000,0.6578893918291551,0.6279015784586816
0,ComplementNB,short_description,0,CountVectorizer,"(2, 2)",6000,0.6498810352831941,0.6216922005571031
0,ComplementNB,full_text,1,CountVectorizer,"(2, 2)",6000,0.6532178505106778,0.6168755803156918
0,ComplementNB,full_text,1,TfidfVectorizer,"(2, 2)",6000,0.6524344243268339,0.6157729805013927
0,ComplementNB,short_description,0,TfidfVectorizer,"(2, 2)",4500,0.6341254642525533,0.6113625812441968
0,ComplementNB,full_text,1,CountVectorizer,"(2, 2)",4500,0.6365918059424327,0.6060817084493965
0,ComplementNB,headline,0,TfidfVectorizer,"(2, 2)",3000,0.6324715645311049,0.6056174558960075
0,ComplementNB,headline,0,CountVectorizer,"(2, 2)",3000,0.6321959145775302,0.6046309192200557
0,ComplementNB,short_description,0,CountVectorizer,"(2, 2)",4500,0.6281046889507892,0.6044568245125348
0,ComplementNB,full_text,1,TfidfVectorizer,"(2, 2)",4500,0.6340094011142061,0.6037024141132776
0,ComplementNB,short_description,0,TfidfVectorizer,"(2, 2)",3000,0.6035283194057567,0.5846680594243269
0,ComplementNB,short_description,0,CountVectorizer,"(2, 2)",3000,0.5953748839368617,0.5788649025069638
0,ComplementNB,full_text,1,CountVectorizer,"(2, 2)",3000,0.5934743500464252,0.5689995357474467
0,ComplementNB,full_text,1,TfidfVectorizer,"(2, 2)",3000,0.5877147168059424,0.5638347260909935
0,ComplementNB,headline,1,TfidfVectorizer,"(2, 2)",7500,0.5875406220984215,0.5477599814298979
0,ComplementNB,headline,1,CountVectorizer,"(2, 2)",7500,0.588164461467038,0.5477019498607242
0,ComplementNB,headline,1,CountVectorizer,"(2, 2)",6000,0.5809975626740947,0.5445102135561746
0,ComplementNB,headline,1,TfidfVectorizer,"(2, 2)",6000,0.5772400185701021,0.5425371402042711
0,ComplementNB,headline,1,CountVectorizer,"(2, 2)",4500,0.567374651810585,0.5355733519034355
0,ComplementNB,headline,1,TfidfVectorizer,"(2, 2)",4500,0.56769382544104,0.5355153203342619
0,ComplementNB,headline,1,TfidfVectorizer,"(2, 2)",3000,0.5316272051996286,0.5072539461467038
0,ComplementNB,headline,1,CountVectorizer,"(2, 2)",3000,0.5319753946146704,0.5063254410399257
0,ComplementNB,short_description,1,CountVectorizer,"(2, 2)",7500,0.5382137883008357,0.4799791086350975
0,ComplementNB,short_description,1,CountVectorizer,"(2, 2)",6000,0.5254613509749304,0.4744661095636026
0,ComplementNB,short_description,1,TfidfVectorizer,"(2, 2)",7500,0.5314095868152274,0.4726090993500464
0,ComplementNB,short_description,1,TfidfVectorizer,"(2, 2)",6000,0.5165244893221913,0.46709610027855153
0,ComplementNB,short_description,1,CountVectorizer,"(2, 2)",4500,0.508719243268338,0.4648909006499536
0,ComplementNB,short_description,1,TfidfVectorizer,"(2, 2)",4500,0.5071378830083565,0.46402042711234914
0,ComplementNB,short_description,1,CountVectorizer,"(2, 2)",3000,0.46184424326833795,0.42728644382544106
0,ComplementNB,short_description,1,TfidfVectorizer,"(2, 2)",3000,0.45872504642525536,0.42484911792014857
